Employment,YearsCode,YearsCodePro,LanguageHaveWorkedWith,Age,Gender,SalaryMonthly
"Employed, full-time",0,0,JavaScript;TypeScript,19,Man,"50,000"
"Employed, full-time",14,5,C#;C++;HTML/CSS;JavaScript;Python,33,Man,"45,000"
"Employed, full-time",20,17,C#;JavaScript;SQL;TypeScript,41,Man,"40,000"
"Employed, full-time",8,3,C#;HTML/CSS;JavaScript;SQL;Swift;TypeScript,34,Woman,"25,000"
"Student, full-time",15,0,C++;Lua,28,Man,0
"Student, part-time",3,0,C++;HTML/CSS;JavaScript;PHP;Python;TypeScript,19,Man,0
"Not employed, but looking for work",1,0,C;C++;HTML/CSS;Java;JavaScript;SQL,23,Man,0
"Employed, full-time",6,6,Delphi;Java;Swift,30,Woman,"30,000"
"Independent contractor, freelancer, or self-employed",37,30,Delphi;Java;Swift,46,Woman,"40,000"
"Employed, full-time",5,2,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL,21,Man,"35,000"
"Employed, full-time;Independent contractor, freelancer, or self-employed",12,10,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,36,Man,"50,000"
"Employed, full-time",12,5,C;HTML/CSS;Rust;SQL;Swift;TypeScript,32,Man,"35,000"
"Employed, part-time",22,15,Elixir;Erlang;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,38,Woman,"20,000"
"Employed, full-time;Independent contractor, freelancer, or self-employed",11,5,HTML/CSS;JavaScript;PHP;Python;R;Ruby;Scala,26,Man,"50,000"
"Independent contractor, freelancer, or self-employed",4,4,Bash/Shell;HTML/CSS;JavaScript;SQL;TypeScript,30,Man,"50,000"
"Employed, full-time",7,4,C#;Java;PHP;Python;R,34,Man,"60,000"
"Employed, full-time",13,10,Python;SQL,33,Woman,"30,000"
"Employed, full-time",36,22,C#;PowerShell;SQL,50,Man,"45,000"
"Student, full-time",2,0,C++;HTML/CSS;Java;JavaScript;Python,22,Man,0
"Student, part-time;Employed, part-time",1,0,Bash/Shell;C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,33,Man,"30,000"
"Employed, full-time",5,4,Python;SQL;TypeScript,27,Man,"35,000"
"Employed, full-time",25,20,C#;SQL;TypeScript,44,Man,"70,000"
"Employed, full-time",10,6,VBA,25,Man,"35,000"
"Independent contractor, freelancer, or self-employed",40,40,C#;C++;JavaScript;PHP;TypeScript,57,Man,"50,000"
"Employed, full-time",16,9,Dart;Go;Java;Kotlin;Swift;TypeScript,25,Man,"20,000"
"Employed, full-time",10,5,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;SQL,33,Man,"55,000"
"Not employed, and not looking for work",4,0,C#;HTML/CSS;JavaScript;Rust;TypeScript,18,Man,0
"Employed, full-time",20,14,C;C++,43,Man,"75,000"
"Employed, full-time;Independent contractor, freelancer, or self-employed",27,22,C#;JavaScript;PowerShell;SQL,48,Man,0
"Employed, full-time",24,21,C#;HTML/CSS;JavaScript;SQL,58,Man,"40,000"
"Student, full-time;Employed, part-time",3,0,C++;Python,17,Man,0
"Student, part-time;Employed, part-time",8,0,C++;Go;Python,23,Woman,"45,000"
"Independent contractor, freelancer, or self-employed",6,5,HTML/CSS;JavaScript;Python;SQL;TypeScript,28,Man,0
"Student, full-time",16,0,MATLAB;Python,26,Man,"50,000"
"Employed, full-time",12,7,C#;C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,34,Man,"25,000"
"Independent contractor, freelancer, or self-employed",19,14,HTML/CSS;JavaScript;PHP;Python;Ruby,35,Man,"20,000"
"Student, full-time",2,0,HTML/CSS;JavaScript;Python;SQL,20,Man,"40,000"
"Employed, full-time",24,18,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Perl;PHP;Scala;SQL,37,Man,0
"Employed, full-time",20,15,C#;C++;HTML/CSS;JavaScript;SQL;TypeScript;VBA,35,Man,"30,000"
"Employed, full-time",3,3,Bash/Shell;HTML/CSS;Python;SQL,18,Man,"45,000"
"Not employed, but looking for work",4,0,C#;HTML/CSS;JavaScript;PHP;Ruby;SQL,28,Man,"30,000"
"Employed, full-time;Student, part-time",15,0,JavaScript;TypeScript,38,Man,"40,000"
"Student, full-time",6,0,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Python;R;SQL,24,Man,0
"Employed, full-time",4,3,JavaScript;TypeScript,33,Man,"35,000"
"Student, full-time",7,0,Bash/Shell;C;C++;Java;Lua;Python,22,Woman,0
"Employed, full-time",6,5,Java;JavaScript;PHP;SQL;TypeScript,28,Woman,"40,000"
"Employed, full-time",40,25,Haskell;Java;Rust,62,Man,0
"Employed, full-time",7,4,C#;HTML/CSS;JavaScript;SQL;TypeScript,27,Man,"30,000"
"Employed, full-time",3,3,Bash/Shell;HTML/CSS;Python;SQL,18,Man,"45,000"
"Not employed, but looking for work",4,0,C#;HTML/CSS;JavaScript;PHP;Ruby;SQL,28,Man,"30,000"
"Employed, full-time;Student, part-time",15,0,JavaScript;TypeScript,38,Man,"40,000"
"Student, full-time",6,0,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Python;R;SQL,24,Man,"60,000"
"Employed, full-time",4,3,JavaScript;TypeScript,33,Man,"35,000"
"Student, full-time",7,0,Bash/Shell;C;C++;Java;Lua;Python,22,Woman,"55,000"
"Employed, full-time",6,5,Java;JavaScript;PHP;SQL;TypeScript,28,Woman,"20,000"
"Employed, full-time",40,25,Haskell;Java;Rust,62,Man,"50,000"
"Employed, full-time",7,4,C#;HTML/CSS;JavaScript;SQL;TypeScript,27,Man,"40,000"
"Independent contractor, freelancer, or self-employed",37,30,Delphi;Java;Swift,46,Woman,"50,000"
"Employed, full-time",5,2,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL,21,Man,0
"Employed, full-time;Independent contractor, freelancer, or self-employed",10,10,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,36,Man,"40,000"
"Employed, full-time",15,5,C;HTML/CSS;Rust;SQL;Swift;TypeScript,32,Man,"30,000"
"Employed, part-time",20,15,Elixir;Erlang;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,38,Woman,"50,000"
"Employed, full-time;Independent contractor, freelancer, or self-employed",13,5,HTML/CSS;JavaScript;PHP;Python;R;Ruby;Scala,26,Man,"20,000"
"Independent contractor, freelancer, or self-employed",6,4,Bash/Shell;HTML/CSS;JavaScript;SQL;TypeScript,30,Man,"25,000"
"Employed, full-time",9,4,C#;Java;PHP;Python;R,34,Man,0
"Employed, full-time",24,21,C#;HTML/CSS;JavaScript;SQL,58,Man,0
"Student, full-time;Employed, part-time",5,0,C++;Python,17,Man,"50,000"
"Student, part-time;Employed, part-time",9,0,C++;Go;Python,23,Woman,"15,000"
